company_id,UVP_true,Data Uniqueness_true,UVP_predicted,Data Uniqueness_predicted
26819,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 1-2 years,Large/Difficult to Obtain
26776,Already obsolete,Questionable Quantity,Ok for 3-5 years,Large/Difficult to Obtain
26750,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
26741,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 1-2 years,Not Special/Publicly Available
26722,Ok for 5-8 years,Large/Difficult to Obtain,Ok for 3-5 years,Large/Difficult to Obtain
26690,Already obsolete,N/A,Ok for 1-2 years,Large/Difficult to Obtain
26704,Already obsolete,N/A,Ok for 1-2 years,Not Special/Publicly Available
26480,Ok for 1-2 years,Not Special/Publicly Available,Ok for 1-2 years,Large/Difficult to Obtain
26311,Ok for 5-8 years,Large/Difficult to Obtain,Ok for 3-5 years,Large/Difficult to Obtain
26296,Ok for 1-2 years,Not Special/Publicly Available,Ok for 5-8 years,Large/Difficult to Obtain
26119,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 3-5 years,Large/Difficult to Obtain
25991,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Quantity questionable
25892,Already obsolete,N/A,Ok for 3-5 years,Not Special/Publicly Available
25849,Already obsolete,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
25831,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
25866,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
25727,Already obsolete,Not Special/Publicly Available,Ok for 1-2 years,N/A
25714,Ok for 1-2 years,N/A,Ok for 1-2 years,Large/Difficult to Obtain
25672,Ok for 1-2 years,Large/Difficult to Obtain,Ok for 3-5 years,Not Special/Publicly Available
25617,Ok for 5-8 years,Large/Difficult to Obtain,Ok for 1-2 years,N/A
25587,Already obsolete,Questionable Quantity,Ok for 3-5 years,Large/Difficult to Obtain
25585,Ok for 1-2 years,N/A,Ok for 3-5 years,Large/Difficult to Obtain
25569,Already obsolete,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
25558,Ok for 3-5 years,Not Special/Publicly Available,Ok for 1-2 years,Quantity questionable
25358,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
25356,Ok for 1-2 years,Not Special/Publicly Available,Ok for 5-8 years,Not Special/Publicly Available
25343,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Not Special/Publicly Available
25314,Ok for 3-5 years,Questionable Quantity,Ok for 1-2 years,Quantity questionable
25058,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Quantity questionable
24893,Ok for 1-2 years,Not Special/Publicly Available,Ok for 1-2 years,Large/Difficult to Obtain
24725,Ok for 3-5 years,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
24680,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
24622,Ok for 5-8 years,Large/Difficult to Obtain,Ok for 1-2 years,Large/Difficult to Obtain
24668,Already obsolete,Not Special/Publicly Available,Ok for 3-5 years,Not Special/Publicly Available
24616,Ok for 1-2 years,Not Special/Publicly Available,Ok for 1-2 years,Large/Difficult to Obtain
24615,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
24586,Ok for 5-8 years,Large/Difficult to Obtain,Ok for 3-5 years,Large/Difficult to Obtain
24556,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 1-2 years,Not Special/Publicly Available
24551,Ok for 1-2 years,N/A,Ok for 5-8 years,Large/Difficult to Obtain
24526,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
24476,Ok for 5-8 years,Large/Difficult to Obtain,Ok for 3-5 years,Large/Difficult to Obtain
24391,Ok for 1-2 years,Large/Difficult to Obtain,Ok for 3-5 years,Not Special/Publicly Available
24192,Ok for 3-5 years,N/A,Ok for 3-5 years,Not Special/Publicly Available
24161,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 3-5 years,Large/Difficult to Obtain
24153,Ok for 1-2 years,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
24045,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 3-5 years,Large/Difficult to Obtain
24039,Already obsolete,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
23977,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 1-2 years,Large/Difficult to Obtain
24383,Already obsolete,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
23521,Ok for 5-8 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
23415,Ok for 1-2 years,Not Special/Publicly Available,Ok for 1-2 years,Quantity questionable
23371,Ok for 1-2 years,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
23303,Already obsolete,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
23200,Already obsolete,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
23037,Ok for 1-2 years,Not Special/Publicly Available,Ok for 5-8 years,Large/Difficult to Obtain
23017,Ok for 1-2 years,Large/Difficult to Obtain,N/A,Quantity questionable
22855,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
22835,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Not Special/Publicly Available
22781,Ok for 3-5 years,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
22744,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
22714,Already obsolete,Not Special/Publicly Available,Ok for 5-8 years,Large/Difficult to Obtain
22661,Ok for 5-8 years,Large/Difficult to Obtain,Ok for 3-5 years,Not Special/Publicly Available
22627,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 3-5 years,Large/Difficult to Obtain
22608,Already obsolete,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
13330,Ok for 3-5 years,Questionable Quantity,Ok for 1-2 years,Large/Difficult to Obtain
22063,Ok for 1-2 years,Large/Difficult to Obtain,Ok for 3-5 years,Large/Difficult to Obtain
21915,Ok for 1-2 years,Large/Difficult to Obtain,Ok for 1-2 years,Quantity questionable
21894,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Not Special/Publicly Available
21857,Already obsolete,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
13435,Ok for 1-2 years,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
13348,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 3-5 years,Large/Difficult to Obtain
13218,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 3-5 years,Large/Difficult to Obtain
13147,Ok for 1-2 years,Not Special/Publicly Available,Already obsolete,Large/Difficult to Obtain
13144,Ok for 1-2 years,Large/Difficult to Obtain,Ok for 3-5 years,Large/Difficult to Obtain
13145,Already obsolete,Questionable Quantity,Ok for 5-8 years,Large/Difficult to Obtain
